,3.5,0.15,-3.35
,4,0.35,-3.65
,4.95,0.25,-4.7
,5.9,0.35,-5.55
adult,5.85,0.4,-5.45
larvae,0.8,0.1,-0.7
pdam,0.9,0.15,-0.75
,1.05,0.15,-0.9
,1.3,0.2,-1.1
