Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
52:52.4,98.73642,7.032288,200,101.3018
53:02.5,98.67332,7.03501,200,101.302
53:12.5,98.4153,7.046163,200,101.3013
53:22.6,98.64346,7.036298,200,101.3
53:32.8,98.71898,7.03304,200,101.2998
53:42.8,98.69069,7.034261,200,101.2983
53:52.9,98.41505,7.046174,200,101.2961
54:03.0,98.72559,7.032755,200,101.2939
54:13.0,98.62804,7.036965,200,101.2952
54:23.1,98.35133,7.048933,200,101.2917
54:33.2,99.05046,7.018773,200,101.29
54:43.2,98.2948,7.051383,200,101.2869
54:53.3,98.67363,7.034997,200,101.2837
55:03.5,99.58536,6.99587,200,101.282
55:13.5,99.39001,7.004216,200,101.28
55:23.6,99.3318,7.006708,200,101.2808
55:33.7,99.02159,7.020012,200,101.2803
55:43.7,98.67793,7.034811,200,101.2832
55:53.8,99.27061,7.009327,200,101.2866
56:03.9,99.12416,7.015607,200,101.2861
56:13.9,99.12636,7.015513,200,101.2861
56:24.0,99.31897,7.007257,200,101.2874
56:34.2,98.31453,7.050528,200,101.2871
56:44.2,98.33553,7.049618,200,101.2849
56:54.3,98.14101,7.058057,200,101.2834
57:04.4,98.31706,7.050418,200,101.2813
57:14.4,98.38306,7.047559,200,101.2817
57:24.5,98.034,7.062709,200,101.2815
57:34.6,97.9104,7.068089,200,101.2839
57:44.6,98.69093,7.03425,200,101.2852
57:54.6,98.60318,7.038038,200,101.2866
58:04.7,98.0511,7.061965,200,101.2886
58:14.7,98.56749,7.03958,200,101.2905
58:24.8,98.26408,7.052715,200,101.29
58:34.9,98.07368,7.060984,200,101.2905
58:44.9,98.73941,7.032159,200,101.2896
58:55.0,99.11806,7.01587,200,101.2891
59:05.1,99.02585,7.01983,200,101.2888
59:15.1,98.89294,7.025545,200,101.2864
59:25.2,98.68718,7.034412,200,101.2869
59:35.3,98.59363,7.038451,200,101.2849
59:45.3,98.5914,7.038547,200,101.2856
59:55.4,98.04428,7.062262,200,101.2866
00:05.5,98.18488,7.056152,200,101.2881
00:15.5,98.32831,7.049931,200,101.2869
00:25.6,97.85797,7.070374,200,101.2876
00:35.7,98.2491,7.053365,200,101.2898
00:45.7,98.30367,7.050999,200,101.2939
00:55.8,98.28387,7.051857,200,101.2954
01:05.9,98.31075,7.050692,200,101.2979
01:15.9,98.592,7.038521,200,101.2988
01:26.0,98.48177,7.043286,200,101.2993
01:36.1,98.41922,7.045993,200,101.2986
01:46.1,98.26193,7.052808,200,101.2983
01:56.2,98.11365,7.059246,200,101.2979
02:06.3,98.21243,7.054956,200,101.2952
02:16.3,98.5461,7.040504,200,101.2947
02:26.4,98.55991,7.039907,200,101.2937
02:36.5,98.65283,7.035894,200,101.2896
02:46.5,98.28906,7.051632,200,101.2891
02:56.6,97.80585,7.072646,200,101.2866
03:06.7,98.4778,7.043458,200,101.2856
03:16.7,98.81624,7.028848,200,101.2842
03:26.8,97.90274,7.068423,200,101.2817
03:36.9,97.94057,7.066775,200,101.2808
03:46.9,98.84328,7.027683,200,101.28
03:57.0,98.35193,7.048907,200,101.2805
